study_name,category,center,code,country,creationDate,ctmsAction,ctmsId,description,dimension,entity_identifiers,id,location,metadataDate1,metadataDate2,metadataString1,metadataString2,metadataString3,signal,status,title,updatedDate
AA001-001,"{0, Default}",414,ACT-8189,Italy,2025-02-24T05:29:04+00:00,True,,TestAction,center,[414],67bc03a0b49476df387e1300,414,,2025-05-19,,,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Test Action01,2025-03-10T09:20:04+00:00
AA001-001,"{0, Default}",414,ACT-8204,Italy,2025-02-24T11:15:08+00:00,False,,Testaction02,center,[414],67bc54bcb49476df387e136c,414,,,,,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,TestAction02,2025-02-24T11:15:18+00:00
AA001-001,"{0, Default}",414,ACT-9569,Italy,2025-03-28T06:58:20+00:00,True,,action08,center,[414],67e6488cb3ddd33b04b57551,414,,2025-06-20,,STUAT Central Monitor 1,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",deprecated,Action08_OPEN,2025-04-03T15:14:57+00:00
AA001-001,"{0, Default}",414,ACT-8549,Italy,2025-03-12T06:36:38+00:00,True,,Dryrun01,center,[414],67d12b76fd5e9dd948d0c7ac,414,2025-06-04,2025-06-04,resolved,Clinical Trial Monitor,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Dry Run Test01,2025-04-03T09:02:29+00:00
AA001-001,"{0, Default}",414,ACT-9629,Italy,2025-04-01T08:48:17+00:00,True,,action11,center,[414],67eba8513c7e4d8857a0309e,414,,2025-06-24,,Sara Joyce,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Action12_OPEN,2025-04-03T15:14:57+00:00
AA001-001,"{0, Default}",414,ACT-9630,Italy,2025-04-01T08:49:38+00:00,True,,action13,center,[414],67eba8a2b3ddd33b04b57b39,414,,2025-06-24,,Clinical Trial Monitor,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Action13_OPEN,2025-04-01T11:07:30+00:00
AA001-001,"{0, Default}",414,ACT-9568,Italy,2025-03-28T06:57:58+00:00,True,,action07,center,[414],67e648769f327a2fe3dffff5,414,,2025-06-20,,STUAT Central Monitor 1,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",deprecated,Action07_OPEN,2025-04-03T15:14:58+00:00
AA001-001,"{0, Default}",414,ACT-9628,Italy,2025-04-01T08:47:55+00:00,True,,action11,center,[414],67eba83bb3ddd33b04b57b38,414,,2025-06-24,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,Action11_OPEN,2025-04-01T11:01:23+00:00
AA001-001,"{0, Default}",414,ACT-9633,Italy,2025-04-01T08:57:51+00:00,True,,action16,center,[414],67ebaa8fb3ddd33b04b57b3c,414,,2025-03-31,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",stalled,Action16_OPEN,2025-04-01T11:12:15+00:00
AA001-001,"{0, Default}",414,ACT-11594,Italy,2025-05-22T13:06:24+00:00,True,,Testing,center,[414],682f21501aa25f7e0d00554f,414,,2025-08-14,,Diana Aarons,,"{null, Site-wide, Critical Data, SIG-31811, There is one reported adverse event which is recovered with sequelae. This is a rare event across all centers., [414], 67238619affdc8580e173e2f, None, open, Adverse Events: AE recovered with Sequelae}",open,"Test 128 exceed - {""type"": ""INVALID_DATA"", ""message"": ""Invalid value [The CLASI assessment has shown higher rates of affected areas for patients at this",2025-05-22T13:32:42+00:00
