archived,broken_mapping,confidence_interval,confidence_interval_broken,creator,dataset_mapping,definition,expected,history,justification_expectation,justification_limit,justification_qtl,lower_quantile_proportion,mitigations,n_records,name,observed,status,study_name,suggested_corrective_action,template_id,threshold,unfinalized_snapshot_mitigation,upper_quantile_proportion,value_of_interest,template_name,archive_rationale,archive_time,archive_user
False,False,0.95,False,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{proportion, QTL_MISRATW10, All, 671f73cb9c9793022465c91c, CP_ASSMIS_TEST}",Proportion of patients where Respiratory rate assessment were not conducted at week 10,0.08,"[{2024-10-29T19:07:21.548000, [{Proportion of patients where Respiratory rate assessment were not conducted at week 10, , Definition}, {A high number of study participants for whom the failure to collect study endpoint data could impact analysis and interpretation of study results, , Justification for Parameter as QTL}, {Review observations with PI and site staff during the next visit/call. Identify the root cause of the issue and retrain/monitor accordingly. , , Suggested Corrective Action(s)}], Updated Corrective Actions, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,A high number of study participants for whom the failure to collect study endpoint data could impact analysis and interpretation of study results,,"[{2024-10-29T19:17:04.591000, 0.08, 28, 0.03571428571428571, 2015-09-25 - DQA/KRI/QTL, {0.12, 0.15}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.540000, 0.08, 83, 0.07228915662650602, 2015-11-14 - DQA/KRI/QTL, {0.12, 0.15}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",210,Missed assessment rate of Respiratory rate at week 10,0.0571428571428571,done_calculating,BMS_POC,Review observations with PI and site staff during the next visit/call. Identify the root cause of the issue and retrain/monitor accordingly. ,False,"{0.12, 0.15}","{0.08, 210, 0.05714285714285714, 2016-02-16 - DQA/KRI/QTL, {0.12, 0.15}}",,Y,,,,
False,False,,,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{count, AE, AE Results in death, 671f7305c1372948d7a27376, AESDTH}",Number of Patient Deaths due to Adverse Event,0.0,"[{2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,,,"[{2024-10-29T19:17:04.591000, 0.0, 0, 0.0, 2015-09-25 - DQA/KRI/QTL, {1.0, 2.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.541000, 0.0, 0, 0.0, 2015-11-14 - DQA/KRI/QTL, {1.0, 2.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",0,Number of Deaths due to Adverse Events,0.0,done_calculating,BMS_POC,To understand why the adverse event has happened.,False,"{1.0, 2.0}","{0.0, 0, 0.0, 2016-02-16 - DQA/KRI/QTL, {1.0, 2.0}}",,,,,,
False,False,,,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{count, DV, All, 671f734cad9ee41bb7db2047, SUBJECT}",Number of Subjects that have protocol deviations,3.0,"[{2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,,,"[{2024-10-29T19:17:04.591000, 3.0, 3, 3.0, 2015-09-25 - DQA/KRI/QTL, {5.0, 10.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.541000, 3.0, 11, 11.0, 2015-11-14 - DQA/KRI/QTL, {5.0, 10.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",36,Number of Subjects with PD ,36.0,done_calculating,BMS_POC,Review with site to reduce the Protocol Deviations,False,"{5.0, 10.0}","{3.0, 36, 36.0, 2016-02-16 - DQA/KRI/QTL, {5.0, 10.0}}",,,,,,
False,False,0.95,False,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{proportion, QTL_MISRATW10, All, 671f73cb9c9793022465c91c, CP_ASSMIS_TEST1}",Proportion of patients where Respiratory rate assessment were not conducted at week 10,0.08,"[{2024-10-29T19:07:21.548000, [{Proportion of patients where Respiratory rate assessment were not conducted at week 10, , Definition}, {A high number of study participants for whom the failure to collect study endpoint data could impact analysis and interpretation of study results, , Justification for Parameter as QTL}, {Review observations with PI and site staff during the next visit/call. Identify the root cause of the issue and retrain/monitor accordingly. , , Suggested Corrective Action(s)}], Updated Corrective Actions, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,A high number of study participants for whom the failure to collect study endpoint data could impact analysis and interpretation of study results,,"[{2024-10-29T19:17:04.591000, 0.08, 28, 0.03571428571428571, 2015-09-25 - DQA/KRI/QTL, {0.12, 0.15}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.540000, 0.08, 83, 0.07228915662650602, 2015-11-14 - DQA/KRI/QTL, {0.12, 0.15}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",210,Missed assessment rate of Respiratory rate at week 10,0.0571428571428571,done_calculating,BMS_POC,Review observations with PI and site staff during the next visit/call. Identify the root cause of the issue and retrain/monitor accordingly. ,False,"{0.12, 0.15}","{0.08, 210, 0.05714285714285714, 2016-02-16 - DQA/KRI/QTL, {0.12, 0.15}}",,Y,,,,
False,False,,,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{count, AE, AE Results in death, 671f7305c1372948d7a27376, AESDTH}",Number of Patient Deaths due to Adverse Event,0.0,"[{2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,,,"[{2024-10-29T19:17:04.591000, 0.0, 0, 0.0, 2015-09-25 - DQA/KRI/QTL, {1.0, 2.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.541000, 0.0, 0, 0.0, 2015-11-14 - DQA/KRI/QTL, {1.0, 2.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",0,Number of Deaths due to Adverse Events,0.0,done_calculating,BMS_POC,To understand why the adverse event has happened.,False,"{1.0, 2.0}","{0.0, 0, 0.0, 2016-02-16 - DQA/KRI/QTL, {1.0, 2.0}}",,,,,,
False,False,,,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{count, DV, All, 671f734cad9ee41bb7db2047, SUBJECT}",Number of Subjects that have protocol deviations,3.0,"[{2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,,,"[{2024-10-29T19:17:04.591000, 3.0, 3, 3.0, 2015-09-25 - DQA/KRI/QTL, {5.0, 10.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.541000, 3.0, 11, 11.0, 2015-11-14 - DQA/KRI/QTL, {5.0, 10.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",36,Number of Subjects with PD ,36.0,done_calculating,BMS_POC,Review with site to reduce the Protocol Deviations,False,"{5.0, 10.0}","{3.0, 36, 36.0, 2016-02-16 - DQA/KRI/QTL, {5.0, 10.0}}",,,,,,
False,False,0.95,False,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{proportion, QTL_MISRATW10, All, 671f73cb9c9793022465c91c, CP_ASSMIS}",Proportion of patients where Respiratory rate assessment were not conducted at week 10,0.08,"[{2024-10-29T19:07:21.548000, [{Proportion of patients where Respiratory rate assessment were not conducted at week 10, , Definition}, {A high number of study participants for whom the failure to collect study endpoint data could impact analysis and interpretation of study results, , Justification for Parameter as QTL}, {Review observations with PI and site staff during the next visit/call. Identify the root cause of the issue and retrain/monitor accordingly. , , Suggested Corrective Action(s)}], Updated Corrective Actions, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,A high number of study participants for whom the failure to collect study endpoint data could impact analysis and interpretation of study results,,"[{2024-10-29T19:17:04.591000, 0.08, 28, 0.03571428571428571, 2015-09-25 - DQA/KRI/QTL, {0.12, 0.15}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.540000, 0.08, 83, 0.07228915662650602, 2015-11-14 - DQA/KRI/QTL, {0.12, 0.15}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",210,Missed assessment rate of Respiratory rate at week 10,0.0571428571428571,done_calculating,BMS_POC,Review observations with PI and site staff during the next visit/call. Identify the root cause of the issue and retrain/monitor accordingly. ,False,"{0.12, 0.15}","{0.08, 210, 0.05714285714285714, 2016-02-16 - DQA/KRI/QTL, {0.12, 0.15}}",,Y,,,,
False,False,,,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{count, AE, AE Results in death, 671f7305c1372948d7a27376, AESDTH}",Number of Patient Deaths due to Adverse Event,0.0,"[{2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,,,"[{2024-10-29T19:17:04.591000, 0.0, 0, 0.0, 2015-09-25 - DQA/KRI/QTL, {1.0, 2.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.541000, 0.0, 0, 0.0, 2015-11-14 - DQA/KRI/QTL, {1.0, 2.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",0,Number of Deaths due to Adverse Events,0.0,done_calculating,BMS_POC,To understand why the adverse event has happened.,False,"{1.0, 2.0}","{0.0, 0, 0.0, 2016-02-16 - DQA/KRI/QTL, {1.0, 2.0}}",,,,,,
False,False,,,"{benjamin.faguer@cluepoints.com, Benjamin Faguer}","{count, DV, All, 671f734cad9ee41bb7db2047, SUBJECT}",Number of Subjects that have protocol deviations,3.0,"[{2024-10-29T19:15:53.978000, [{671f7149045e60e4dda07c9a, , Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:35:25.353000, [{672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:47:33.081000, [{6721399d4f1ef2168792849e,672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, 672135fc045e60e4dda0a2fb,671f7149045e60e4dda07c9a, Snapshots of Interest}], null, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",,,,,"[{2024-10-29T19:17:04.591000, 3.0, 3, 3.0, 2015-09-25 - DQA/KRI/QTL, {5.0, 10.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}, {2024-10-29T19:37:06.541000, 3.0, 11, 11.0, 2015-11-14 - DQA/KRI/QTL, {5.0, 10.0}, {benjamin.faguer@cluepoints.com, Benjamin Faguer}}]",36,Number of Subjects with PD ,36.0,done_calculating,BMS_POC,Review with site to reduce the Protocol Deviations,False,"{5.0, 10.0}","{3.0, 36, 36.0, 2016-02-16 - DQA/KRI/QTL, {5.0, 10.0}}",,,,,,
False,False,0.95,False,"{sara.sanchez@cluepoints.com, Sara Sanchez}","{proportion, QTL_EEOTRAT, All, 68d17146482d58e5aa47038e, CP_SUBJ_DISC}",Rate of early treatment discontinuations by patient enrolled/randomized,0.25,"[{2025-09-23T21:02:19.282000, [{68d2f7a277943e45f71cbbe4,68cd7a4827f5615336ca1f0d, , Snapshots of Interest}], null, {sara.sanchez@cluepoints.com, Sara Sanchez}}]",Expected Value : 250 patients early discontinued out of 1000 expected in the trial => 25%,"Secondary Tolerance Limit : 300 patients early discontinued out of 1000 expected in the trial => 30%
Tolerance Limit : 350 patients early discontinued out of 1000 expected in the trial => 35%","EEOTRAT = A/B , where:

A = Total # of patients who discontinued the study treatment prematurely
B = Total # of patients enrolled / randomized",,,211,Early End Of Treatment Rate,0.1374407582938388,done_calculating,TRN_BMS_CMN_KT_Smriti,,False,"{0.3, 0.35}","{0.25, 211, 0.13744075829383887, 2025-09-23 DQA & KRI/QTL, {0.3, 0.35}}",,,,,,
