STUDY_NAME,STUDY_STATUS,SNAPSHOT_ID,SNAPSHOT_NAME,SNAPSHOT_DATE,ANALYSIS_NAME,KRI_CATEGORY,KRI_GROUPING_TYPE,KRI_LABEL,KRI_CODE,KRI_DISABLED,KRI_DESCRIPTION,LOCATION,COUNTRY,N_PATIENTS,LOCATION_SCORE,SCORE,EXPECTED,OBSERVED,RELATIVE_SCORE_THRESHOLDS_BELOW_HIGH,RELATIVE_SCORE_THRESHOLDS_BELOW_MEDIUM,RELATIVE_SCORE_THRESHOLDS_ABOVE_MEDIUM,RELATIVE_SCORE_THRESHOLDS_ABOVE_HIGH,ABSOLUTE_VALUE_THRESHOLDS_BELOW_HIGH,ABSOLUTE_VALUE_THRESHOLDS_BELOW_MEDIUM,ABSOLUTE_VALUE_THRESHOLDS_ABOVE_MEDIUM,ABSOLUTE_VALUE_THRESHOLDS_ABOVE_HIGH
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Region - KRI,Safety,region,Rate of serious Adverse events,SAERATE,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",Belgium,Belgium,67,0.0,0.109287,0.949868,0.982014,-3.0,-1.3,1.3,3.0,0.45,0.61,1.1,1.3
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Region - KRI,Safety,region,Rate of serious Adverse events,SAERATE,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",Italy,Italy,8,1.0,1.04248,0.949868,1.59603,-3.0,-1.3,1.3,3.0,0.45,0.61,1.1,1.3
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Region - KRI,Safety,region,Rate of serious Adverse events,SAERATE,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",Spain,Spain,6,0.0,-0.401548,0.949868,0.621528,-3.0,-1.3,1.3,3.0,0.45,0.61,1.1,1.3
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Region - KRI,Safety,region,Rate of serious Adverse events,SAERATE,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",UK,UK,39,1.0,-6.30103,0.949868,0.529412,-3.0,-1.3,1.3,3.0,0.45,0.61,1.1,1.3
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Region - KRI,Safety,region,Rate of serious Adverse events,SAERATE,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",USA,USA,68,0.0,-0.107644,0.949868,0.75,-3.0,-1.3,1.3,3.0,0.45,0.61,1.1,1.3
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",109,UK,39,1.5,1.04248,0.949868,1.59603,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,109,UK,39,1.5,,1.0,1.0,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",183,USA,46,1.0,-0.401548,0.949868,0.621528,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,KRI missing pvalue,PVALUE0,N,This KRI is missing pvalue and is forced,183,USA,46,1.0,,1.0,1.0,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
Datashort-1212,ACTIVE,698b7759af8a18a5a01ce87a,2026-02-10,2026-02-10,Center - KRI,Data Quality,center,Total Number of Queries,TOTALQ,N,"Count of all queries (Open, Answered, Closed) by Patient Visits.",184,USA,22,0.0,0.704053,0.949868,0.841125,-3.0,-1.3,1.3,3.0,0.5,0.65,1.0,1.2
